PostOffice,Postcode,State
Iskandar Puteri,79000,Johor
Iskandar Puteri,79050,Johor
Iskandar Puteri,79100,Johor
Iskandar Puteri,79150,Johor
Iskandar Puteri,79200,Johor
Iskandar Puteri,79250,Johor
Iskandar Puteri,79505,Johor
Iskandar Puteri,79511,Johor
Iskandar Puteri,79503,Johor
Iskandar Puteri,79517,Johor
Iskandar Puteri,79513,Johor
Iskandar Puteri,79502,Johor
Iskandar Puteri,79514,Johor
Iskandar Puteri,79504,Johor
Iskandar Puteri,79523,Johor
Iskandar Puteri,79521,Johor
Iskandar Puteri,79518,Johor
Iskandar Puteri,79520,Johor
Iskandar Puteri,79532,Johor
Iskandar Puteri,79538,Johor
Iskandar Puteri,79540,Johor
Iskandar Puteri,79546,Johor
Iskandar Puteri,79548,Johor
Iskandar Puteri,79555,Johor
Iskandar Puteri,79550,Johor
Iskandar Puteri,79552,Johor
Iskandar Puteri,79570,Johor
Iskandar Puteri,79575,Johor
Iskandar Puteri,79576,Johor
Iskandar Puteri,79592,Johor
Iskandar Puteri,79601,Johor
Iskandar Puteri,79603,Johor
Iskandar Puteri,79605,Johor
Iskandar Puteri,79606,Johor
Iskandar Puteri,79612,Johor
Iskandar Puteri,79626,Johor
Iskandar Puteri,79630,Johor
Iskandar Puteri,79632,Johor
Iskandar Puteri,79646,Johor
Iskandar Puteri,79658,Johor
Iskandar Puteri,79660,Johor
Iskandar Puteri,79680,Johor
Iskandar Puteri,79683,Johor
Iskandar Puteri,79681,Johor
Johor Bahru,80000,Johor
Johor Bahru,80050,Johor
Johor Bahru,80100,Johor
Johor Bahru,80150,Johor
Johor Bahru,80200,Johor
Johor Bahru,80250,Johor
Johor Bahru,80300,Johor
Johor Bahru,80350,Johor
Johor Bahru,80400,Johor
Johor Bahru,80500,Johor
Johor Bahru,80508,Johor
Johor Bahru,80506,Johor
Johor Bahru,80516,Johor
Johor Bahru,80519,Johor
Johor Bahru,80536,Johor
Johor Bahru,80534,Johor
Johor Bahru,80542,Johor
Johor Bahru,80546,Johor
Johor Bahru,80558,Johor
Johor Bahru,80560,Johor
Johor Bahru,80568,Johor
Johor Bahru,80564,Johor
Johor Bahru,80578,Johor
Johor Bahru,80584,Johor
Johor Bahru,80586,Johor
Johor Bahru,80596,Johor
Johor Bahru,80594,Johor
Johor Bahru,80592,Johor
Johor Bahru,80604,Johor
Johor Bahru,80590,Johor
Johor Bahru,80600,Johor
Johor Bahru,80608,Johor
Johor Bahru,80620,Johor
Johor Bahru,80622,Johor
Johor Bahru,80628,Johor
Johor Bahru,80644,Johor
Johor Bahru,80648,Johor
Johor Bahru,80662,Johor
Johor Bahru,80664,Johor
Johor Bahru,80668,Johor
Johor Bahru,80670,Johor
Johor Bahru,80673,Johor
Johor Bahru,80672,Johor
Johor Bahru,80676,Johor
Johor Bahru,80700,Johor
Johor Bahru,80710,Johor
Johor Bahru,80720,Johor
Johor Bahru,80730,Johor
Johor Bahru,80902,Johor
Johor Bahru,80904,Johor
Johor Bahru,80908,Johor
Johor Bahru,80900,Johor
Johor Bahru,80906,Johor
Johor Bahru,80988,Johor
Kulai,81000,Johor
Johor Bahru,80990,Johor
Johor Bahru,81100,Johor
Johor Bahru,81200,Johor
Johor Bahru,81300,Johor
Johor Bahru,81310,Johor
Senai,81400,Johor
